                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"               "x86_64-osx-macos-19.11.2"                               "20220706"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19 
                            model_number                                 star_age                                star_mass                                       pp                                      cno                                 tri_alfa                             he_core_mass                              c_core_mass                              o_core_mass                                 log_Teff                                    log_L                                    log_R                             log_center_T                           log_center_Rho                                center_h1                               center_he4                               center_c12                               center_o16                            envelope_mass 
                                       1                  9.1004381500021367E-002                  1.3899999997401760E+000                 -2.1092219149793465E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5759595913375848E+000                  2.4813211614280273E+000                  1.6120002344914715E+000                  5.4767717454313711E+000                 -3.6021725390486758E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1624109885589830E-003                  1.4006513474804578E-002                  1.3899999997401760E+000 
                                      10                  2.3623538101582278E+000                  1.3899999932684941E+000                 -2.1083588299559960E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5759977692695126E+000                  2.4804122730188936E+000                  1.6114694344230482E+000                  5.4774175413192054E+000                 -3.6011872962560543E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1624109885589830E-003                  1.4006513474804579E-002                  1.3899999932684941E+000 
                                      20                  1.6989425939110340E+001                  1.3899999519766768E+000                 -2.1029732581073237E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5763545019150724E+000                  2.4758526782439225E+000                  1.6084761717444438E+000                  5.4817162276741858E+000                 -3.5946341820562142E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1624109885589830E-003                  1.4006513474804578E-002                  1.3899999519766768E+000 
                                      30                  1.0755640119301499E+002                  1.3899997098718664E+000                 -2.0718640534879707E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5784501541409779E+000                  2.4494681418526558E+000                  1.5910925990969993E+000                  5.4979699658621675E+000                 -3.5473953256972410E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1624109885589830E-003                  1.4006513474804578E-002                  1.3899997098718664E+000 
                                      40                  6.6713761784977930E+002                  1.3899985674826372E+000                 -1.9333811153674997E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5878168956395542E+000                  2.3284888891170152E+000                  1.5118694897320260E+000                  5.5714833207138792E+000                 -3.3298681201693108E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1624109885589830E-003                  1.4006513474804578E-002                  1.3899985674826372E+000 
                                      50                  2.0749682198001506E+003                  1.3899969256979221E+000                 -1.7466931758060603E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6008985637389421E+000                  2.1559880088259309E+000                  1.3994557133877079E+000                  5.6763748763506428E+000                 -3.0175432692409041E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1624109885589830E-003                  1.4006513474804578E-002                  1.3899969256979221E+000 
                                      60                  4.8086720096977660E+003                  1.3899952763598931E+000                 -1.5701344228787177E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6134427252171872E+000                  1.9806491851205965E+000                  1.2866979785785497E+000                  5.7825830306060757E+000                 -2.7000795733192566E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1624109885589830E-003                  1.4006513474804579E-002                  1.3899952763598931E+000 
                                      70                  1.0130247960116181E+004                  1.3899936265784243E+000                 -1.4035955740518753E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6254616179755903E+000                  1.8030820923575335E+000                  1.1738766466802129E+000                  5.8897714263808263E+000                 -2.3788106847394759E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1624109885589830E-003                  1.4006513474804579E-002                  1.3899936265784243E+000 
                                      80                  2.0347945548585649E+004                  1.3899920029893129E+000                 -1.2489526617283405E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6363947233342415E+000                  1.6245096863069242E+000                  1.0627242329376050E+000                  5.9961657296262585E+000                 -2.0590793240840597E+000                  6.7000000000000015E-001                  2.9996807396223096E-001                  5.1624109885589830E-003                  1.4006513474804578E-002                  1.3899920029893129E+000 
