                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"               "x86_64-osx-macos-19.11.2"                               "20220706"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19 
                            model_number                                 star_age                                star_mass                                       pp                                      cno                                 tri_alfa                             he_core_mass                              c_core_mass                              o_core_mass                                 log_Teff                                    log_L                                    log_R                             log_center_T                           log_center_Rho                                center_h1                               center_he4                               center_c12                               center_o16                            envelope_mass 
                                    6131                  3.3007368130363293E+009                  5.5590004229651802E-001                 -1.4549876659835546E+000                  3.2626276236797218E+000                  2.4946870051859764E+000                  5.4622437271702751E-001                  4.9933276042565616E-001                  0.0000000000000000E+000                  3.5427915569678432E+000                  3.3952167795797066E+000                  2.1352841123067927E+000                  7.9810997341124210E+000                  6.1919135740518110E+000                  0.0000000000000000E+000                  1.4786732876783969E-022                  2.7243764446963004E-001                  6.9156233743620366E-001                  9.6756695794905090E-003 
                                    6140                  3.3007373868739576E+009                  5.5351951232827512E-001                 -1.4494391275625402E+000                  3.2702776126068556E+000                  2.4814561075424000E+000                  5.4623966013634262E-001                  4.9933276042565605E-001                  0.0000000000000000E+000                  3.5553877044928899E+000                  3.3986459535479585E+000                  2.1118064042408258E+000                  7.9811533025535661E+000                  6.1922119319224374E+000                  0.0000000000000000E+000                  1.4786298315522119E-022                  2.7243764446962532E-001                  6.9156233743620998E-001                  7.2798521919325010E-003 
                                    6150                  3.3007379600388265E+009                  5.5121733187701294E-001                 -1.4412586548664410E+000                  3.2777801432936506E+000                  2.4688103706935909E+000                  5.4626088956352981E-001                  4.9933276042565616E-001                  0.0000000000000000E+000                  3.5815783277585167E+000                  3.4021606806213738E+000                  2.0611825212462804E+000                  7.9812068612806177E+000                  6.1925103134438606E+000                  0.0000000000000000E+000                  1.4785864887607797E-022                  2.7243764446962082E-001                  6.9156233743621620E-001                  4.9564423134831337E-003 
                                    6160                  3.3007382355263109E+009                  5.5020901800293998E-001                 -1.4366745799731753E+000                  3.2812466997147189E+000                  2.4628864095271306E+000                  5.4627313623703233E-001                  4.9933276042565600E-001                  0.0000000000000000E+000                  3.6120086277181827E+000                  3.4037863671350213E+000                  2.0011347645837714E+000                  7.9812325630942400E+000                  6.1926537558144501E+000                  0.0000000000000000E+000                  1.4785656765632685E-022                  2.7243764446961866E-001                  6.9156233743621887E-001                  3.9358817659076450E-003 
                                    6170                  3.3007383420223689E+009                  5.4986094948151321E-001                 -1.4346211987486694E+000                  3.2824853744784210E+000                  2.4606226151034765E+000                  5.4627748813012200E-001                  4.9933276042565605E-001                  0.0000000000000000E+000                  3.6336767536792789E+000                  3.4043803366582721E+000                  1.9580954974232057E+000                  7.9812424932538528E+000                  6.1927092147180183E+000                  0.0000000000000000E+000                  1.4785576343036793E-022                  2.7243764446961788E-001                  6.9156233743621998E-001                  3.5834613513912039E-003 
                                    6180                  3.3007383947456307E+009                  5.4970219686824839E-001                 -1.4336157238641745E+000                  3.2831609978396927E+000                  2.4595070805862016E+000                  5.4627748813012211E-001                  4.9933276042565616E-001                  0.0000000000000000E+000                  3.6483409444187997E+000                  3.4046311789707975E+000                  1.9288925371004260E+000                  7.9812474062420025E+000                  6.1927366688576191E+000                  0.0000000000000000E+000                  1.4785536532949064E-022                  2.7243764446961743E-001                  6.9156233743622053E-001                  3.4247087381262808E-003 
                                    6190                  3.3007384344063578E+009                  5.4959000368313593E-001                 -1.4330139630001602E+000                  3.2835891787712184E+000                  2.4586696191479938E+000                  5.4627748813012245E-001                  4.9933276042565639E-001                  0.0000000000000000E+000                  3.6618239810787050E+000                  3.4047907101077906E+000                  1.9020062293491122E+000                  7.9812510995953527E+000                  6.1927573182958282E+000                  0.0000000000000000E+000                  1.4785506587749685E-022                  2.7243764446961721E-001                  6.9156233743622075E-001                  3.3125155530134842E-003 
                                    6200                  3.3007384727905569E+009                  5.4948818991683424E-001                 -1.4325046738904792E+000                  3.2839907604849747E+000                  2.4578623046507451E+000                  5.4628184002321245E-001                  4.9933276042565689E-001                  0.0000000000000000E+000                  3.6775328879780975E+000                  3.4049170849940800E+000                  1.8706516029934710E+000                  7.9812546751458431E+000                  6.1927773063679892E+000                  0.0000000000000000E+000                  1.4785477607356098E-022                  2.7243764446961710E-001                  6.9156233743622098E-001                  3.2063498936217849E-003 
                                    6210                  3.3007385140518150E+009                  5.4938720740662317E-001                 -1.4321315035342261E+000                  3.2843664478914461E+000                  2.4569978205203662E+000                  5.4628184002321256E-001                  4.9933276042565677E-001                  0.0000000000000000E+000                  3.6981886808217359E+000                  3.4049560894130253E+000                  1.8293595195156676E+000                  7.9812585193496073E+000                  6.1927987952553831E+000                  0.0000000000000000E+000                  1.4785446455735157E-022                  2.7243764446961694E-001                  6.9156233743622131E-001                  3.1053673834106066E-003 
