                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"               "x86_64-osx-macos-19.11.2"                               "20211107"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19 
                            model_number                                 star_age                                star_mass                                       pp                                      cno                                 tri_alfa                             he_core_mass                              c_core_mass                              o_core_mass                                 log_Teff                                    log_L                                    log_R                             log_center_T                           log_center_Rho                                center_h1                               center_he4                               center_c12                               center_o16                            envelope_mass 
                                       1                  9.1004381500021367E-002                  1.3799999997450025E+000                 -2.1020082040844702E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5851722960933428E+000                  2.4860927963728825E+000                  1.5959606424523816E+000                  5.4767366394785189E+000                 -3.5651739170680443E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059880E-003                  9.3376756498697363E-003                  1.3799999997450025E+000 
                                      10                  2.3623538101582278E+000                  1.3799999933929226E+000                 -2.1011551662069348E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5852102856175256E+000                  2.4852143588312465E+000                  1.5954454446331994E+000                  5.4773789640403026E+000                 -3.5641966336402211E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059884E-003                  9.3376756498697363E-003                  1.3799999933929226E+000 
                                      20                  1.6989425939110340E+001                  1.3799999528587950E+000                 -2.0958300597468412E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5855556684703069E+000                  2.4807014824970639E+000                  1.5924982407605450E+000                  5.4816379876865007E+000                 -3.5577212552645268E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059880E-003                  9.3376756498697363E-003                  1.3799999528587950E+000 
                                      30                  1.0755640119301499E+002                  1.3799997150757402E+000                 -2.0650423937091141E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5875686022536541E+000                  2.4544383580162785E+000                  1.5753408109534570E+000                  5.4977305264266692E+000                 -3.5109826178963894E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059836E-003                  9.3376756498697363E-003                  1.3799997150757402E+000 
                                      40                  6.6754368537076243E+002                  1.3799985896242264E+000                 -1.9275217627982414E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5968368448559973E+000                  2.3345605388071151E+000                  1.4968654161441888E+000                  5.5707058057854848E+000                 -3.2947459688856648E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059836E-003                  9.3376756498697363E-003                  1.3799985896242264E+000 
                                      50                  2.0826041461513050E+003                  1.3799969608145224E+000                 -1.7407253559903705E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6097278692007966E+000                  2.1618621404174903E+000                  1.3847341682597780E+000                  5.6756047208765494E+000                 -2.9821732471822036E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059836E-003                  9.3376756498697363E-003                  1.3799969608145224E+000 
                                      60                  4.8984034234959945E+003                  1.3799952939120672E+000                 -1.5609502546747523E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6224661192379841E+000                  1.9837010705885316E+000                  1.2701771332709244E+000                  5.7837559055968253E+000                 -2.6587881726596727E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059836E-003                  9.3376756498697363E-003                  1.3799952939120672E+000 
                                      70                  1.0277017009292560E+004                  1.3799936659605989E+000                 -1.3953633503039654E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6338753099092234E+000                  1.8053740033835537E+000                  1.1581952183259558E+000                  5.8904149329490405E+000                 -2.3392330661393501E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059832E-003                  9.3376756498697363E-003                  1.3799936659605989E+000 
                                      80                  2.0770902485641102E+004                  1.3799920437187245E+000                 -1.2397748775230378E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6444071688701554E+000                  1.6241316191071984E+000                  1.0465103082659151E+000                  5.9975779383865166E+000                 -2.0175503502356156E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059836E-003                  9.3376756498697363E-003                  1.3799920437187245E+000 
                                      90                  4.1510258119376937E+004                  1.3799904178057185E+000                 -1.0928395323015813E+001                 -3.4147454935912968E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6540472596307878E+000                  1.4387862311605193E+000                  9.3455743277131120E-001                  6.1057842167615979E+000                 -1.6924186970420230E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059841E-003                  9.3376756498697363E-003                  1.3799904178057185E+000 
                                     100                  8.1364296964112946E+004                  1.3799888367677955E+000                 -9.5799326862435183E+000                 -2.9561096014093717E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6622255360961065E+000                  1.2534535374914459E+000                  8.2553453300613611E-001                  6.2118642876730989E+000                 -1.3738805683719513E+000                  6.9999999999999996E-001                  2.7997020236474884E-001                  3.4416073257059828E-003                  9.3376756498697346E-003                  1.3799888367677955E+000 
                                     110                  1.6116707634819750E+005                  1.3799872439954217E+000                 -8.3006505268436914E+000                 -2.5261900198880461E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6689801338680565E+000                  1.0609583003623870E+000                  7.1577771889770736E-001                  6.3191982143654064E+000                 -1.0518079980881572E+000                  6.9999999999999640E-001                  2.7997020236474884E-001                  3.4416073257059806E-003                  9.3376756498697346E-003                  1.3799872439954217E+000 
                                     120                  3.2123807026115939E+005                  1.3799856604430871E+000                 -7.1030652891800594E+000                 -2.1288365248084762E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6738054332209908E+000                  8.6225651432919359E-001                  6.0677622717524082E-001                  6.4262569634964821E+000                 -7.3067061777106657E-001                  6.9999999999987872E-001                  2.7997020236474884E-001                  3.4416073257059789E-003                  9.3376756498697346E-003                  1.3799856604430871E+000 
                                     130                  6.5630583078185969E+005                  1.3799840523407478E+000                 -5.9598641669469590E+000                 -1.7546578608150721E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6765037565800629E+000                  6.5217610991265718E-001                  4.9633937824882912E-001                  6.5350566753582484E+000                 -4.0439557654393982E-001                  6.9999999999636386E-001                  2.7997020236474879E-001                  3.4416073257059784E-003                  9.3376756498697328E-003                  1.3799840523407478E+000 
                                     140                  1.4123396736132454E+006                  1.3799823691001216E+000                 -4.8465649877952650E+000                 -1.4067491327862923E+001                 -8.1862697949929924E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6760776054680733E+000                  4.2153413055310740E-001                  3.8187069079303393E-001                  6.6390651970419325E+000                 -4.8988849318427570E-002                  6.9999999879580532E-001                  2.7997020236474879E-001                  3.4416073257059710E-003                  9.3376756498697328E-003                  1.3799823691001216E+000 
                                     150                  3.4744467780666202E+006                  1.3799803803857227E+000                 -3.6692589179794424E+000                 -1.0757678477367657E+001                 -7.3408248633192642E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6768103169024786E+000                  1.8306957887163483E-001                  2.6117299208348643E-001                  6.7414952150244671E+000                  4.3741767655312441E-001                  6.9999995711948915E-001                  2.7997020236476228E-001                  3.4416073256866237E-003                  9.3376756498697328E-003                  1.3799803803857227E+000 
                                     160                  7.1885149376988839E+006                  1.3799783993456081E+000                 -2.5435574746263798E+000                 -7.5135258085965271E+000                 -6.4937139797252328E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7004812002896270E+000                  1.3676726287489999E-001                  1.9068006731082279E-001                  6.8535750865140965E+000                  9.6420124432169063E-001                  6.9999903917938888E-001                  2.7997020238281300E-001                  3.4416072779225124E-003                  9.3376756498695923E-003                  1.3799783993456081E+000 
