                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"               "x86_64-osx-macos-19.11.2"                               "20211108"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19 
                            model_number                                 star_age                                star_mass                                       pp                                      cno                                 tri_alfa                             he_core_mass                              c_core_mass                              o_core_mass                                 log_Teff                                    log_L                                    log_R                             log_center_T                           log_center_Rho                                center_h1                               center_he4                               center_c12                               center_o16                            envelope_mass 
                                    6824                  3.9535588572226076E+009                  5.5183399221004970E-001                 -2.0380166958650378E-001                  3.4489086636462494E+000                  1.9397641191299821E+000                  5.4239578047203685E-001                  4.9644307537110671E-001                  0.0000000000000000E+000                  3.5463744692672452E+000                  3.4932103169724691E+000                  2.1771150564043702E+000                  7.9671048934973632E+000                  6.2011989593254313E+000                  0.0000000000000000E+000                  5.2825260627797414E-020                  2.4113952243368381E-001                  7.3414920538737571E-001                  9.4382117380128472E-003 
                                    6830                  3.9535590398060026E+009                  5.4988354227465985E-001                 -1.9971770796301375E-001                  3.4493851725318256E+000                  1.9366616202957310E+000                  5.4240388670684669E-001                  4.9644307537110666E-001                  0.0000000000000000E+000                  3.5554466299798624E+000                  3.4933718950800547E+000                  2.1590515240329293E+000                  7.9671209341962994E+000                  6.2012859614242357E+000                  0.0000000000000000E+000                  5.2824956713434484E-020                  2.4113952243357731E-001                  7.3414920538748363E-001                  7.4796555678131593E-003 
                                    6840                  3.9535592693869796E+009                  5.4753897343365276E-001                 -1.9295310945282548E-001                  3.4498759373735410E+000                  1.9327805955511013E+000                  5.4241400178639798E-001                  4.9644307537110660E-001                  0.0000000000000000E+000                  3.5741025238522717E+000                  3.4936729034993093E+000                  2.1218902404977369E+000                  7.9671415538856589E+000                  6.2013962821525164E+000                  0.0000000000000000E+000                  5.2824580572133373E-020                  2.4113952243345096E-001                  7.3414920538761164E-001                  5.1249716472547835E-003 
                                    6850                  3.9535594442739496E+009                  5.4590008171164894E-001                 -1.8822476749388106E-001                  3.4502647594820171E+000                  1.9298451378972497E+000                  5.4242185861512737E-001                  4.9644307537110643E-001                  0.0000000000000000E+000                  3.6020086385296897E+000                  3.4938946493010303E+000                  2.0661888840437617E+000                  7.9671568053087771E+000                  6.2014795794997060E+000                  0.0000000000000000E+000                  5.2824297728789868E-020                  2.4113952243335943E-001                  7.3414920538770445E-001                  3.4782230965215710E-003 
                                    6860                  3.9535595111001968E+009                  5.4533904455223781E-001                 -1.8639898583632050E-001                  3.4504098022560967E+000                  1.9287272808724587E+000                  5.4242511085743017E-001                  4.9644307537110616E-001                  0.0000000000000000E+000                  3.6220230200358059E+000                  3.4939348460272566E+000                  2.0261802193946430E+000                  7.9671627434921772E+000                  6.2015116280430371E+000                  0.0000000000000000E+000                  5.2824190474917235E-020                  2.4113952243332554E-001                  7.3414920538773887E-001                  2.9139336948076355E-003 
                                    6870                  3.9535595431975083E+009                  5.4508988570065742E-001                 -1.8565020911043242E-001                  3.4504775530123077E+000                  1.9281910397594586E+000                  5.4242511085743017E-001                  4.9644307537110621E-001                  0.0000000000000000E+000                  3.6355393473111954E+000                  3.4939267307462396E+000                  1.9991435072033557E+000                  7.9671655909525443E+000                  6.2015270166043264E+000                  0.0000000000000000E+000                  5.2824139103962172E-020                  2.4113952243330936E-001                  7.3414920538775519E-001                  2.6647748432272467E-003 
                                    6880                  3.9535595655680280E+009                  5.4492597254510944E-001                 -1.8523147686894723E-001                  3.4504886565873183E+000                  1.9278177711935807E+000                  5.4242807251888647E-001                  4.9644307537110643E-001                  0.0000000000000000E+000                  3.6472879065992401E+000                  3.4939286065449191E+000                  1.9756473265266055E+000                  7.9671675741030947E+000                  6.2015377407474119E+000                  0.0000000000000000E+000                  5.2824103351858462E-020                  2.4113952243329823E-001                  7.3414920538776640E-001                  2.4979000262229656E-003 
                                    6890                  3.9535595763386927E+009                  5.4485042511410142E-001                 -1.8502857697979844E-001                  3.4504752242539838E+000                  1.9276387201630765E+000                  5.4242807251888647E-001                  4.9644307537110643E-001                  0.0000000000000000E+000                  3.6538117776214274E+000                  3.4939072694022988E+000                  1.9625889159109202E+000                  7.9671685296365808E+000                  6.2015429057939659E+000                  0.0000000000000000E+000                  5.2824086153862795E-020                  2.4113952243329292E-001                  7.3414920538777184E-001                  2.4223525952149494E-003 
                                    6900                  3.9535595841334286E+009                  5.4479722175894629E-001                 -1.8489284422327415E-001                  3.4504741426352359E+000                  1.9275093536264394E+000                  5.4242807251888614E-001                  4.9644307537110605E-001                  0.0000000000000000E+000                  3.6589791576200223E+000                  3.4938759148077678E+000                  1.9522384786164655E+000                  7.9671692213078282E+000                  6.2015466441937823E+000                  0.0000000000000000E+000                  5.2824073713591422E-020                  2.4113952243328901E-001                  7.3414920538777573E-001                  2.3691492400601533E-003 
                                    6910                  3.9535595929785075E+009                  5.4473840086926650E-001                 -1.8470589803629248E-001                  3.4504242167608266E+000                  1.9273637495529612E+000                  5.4242807251888592E-001                  4.9644307537110605E-001                  0.0000000000000000E+000                  3.6653657671138338E+000                  3.4938663973726629E+000                  1.9394605009112909E+000                  7.9671700083888393E+000                  6.2015508905341505E+000                  0.0000000000000000E+000                  5.2824059602668869E-020                  2.4113952243328463E-001                  7.3414920538778028E-001                  2.3103283503805860E-003 
                                    6920                  3.9535596007873802E+009                  5.4468796593199853E-001                 -1.8456520761345485E-001                  3.4504374647397560E+000                  1.9272349508110165E+000                  5.4242807251888581E-001                  4.9644307537110582E-001                  0.0000000000000000E+000                  3.6715901125725541E+000                  3.4938325390161080E+000                  1.9269948808155712E+000                  7.9671707024563805E+000                  6.2015546381111388E+000                  0.0000000000000000E+000                  5.2824047150015000E-020                  2.4113952243328071E-001                  7.3414920538778417E-001                  2.2598934131127235E-003 
                                    6930                  3.9535596091289210E+009                  5.4463573306111079E-001                 -1.8446625807531300E-001                  3.4504510032406523E+000                  1.9270970282034194E+000                  5.4242807251888547E-001                  4.9644307537110566E-001                  0.0000000000000000E+000                  3.6789728552803731E+000                  3.4937667367265584E+000                  1.9121964942551584E+000                  7.9671714428692262E+000                  6.2015586396779190E+000                  0.0000000000000000E+000                  5.2824033853129223E-020                  2.4113952243327655E-001                  7.3414920538778838E-001                  2.2076605422253204E-003 
                                    6940                  3.9535596165943842E+009                  5.4459054970693466E-001                 -1.8445306450266660E-001                  3.4504454371320730E+000                  1.9269733763358214E+000                  5.4242807251888547E-001                  4.9644307537110549E-001                  0.0000000000000000E+000                  3.6862135304895172E+000                  3.4936942064476093E+000                  1.8976788786973966E+000                  7.9671721048234332E+000                  6.2015622198596780E+000                  0.0000000000000000E+000                  5.2824021957387615E-020                  2.4113952243327280E-001                  7.3414920538779216E-001                  2.1624771880491833E-003 
                                    6950                  3.9535596253892035E+009                  5.4453934014044580E-001                 -1.8455592832429191E-001                  3.4504068530058571E+000                  1.9268278253425088E+000                  5.4243175391556842E-001                  4.9644307537110505E-001                  0.0000000000000000E+000                  3.6958456163052604E+000                  3.4935812395395645E+000                  1.8783582236118881E+000                  7.9671728846033467E+000                  6.2015664376499631E+000                  0.0000000000000000E+000                  5.2824007948787631E-020                  2.4113952243326844E-001                  7.3414920538779649E-001                  2.1075862248773891E-003 
                                    6960                  3.9535596348138609E+009                  5.4448712811175304E-001                 -1.8483174775712560E-001                  3.4503380700201554E+000                  1.9266723316896861E+000                  5.4243175391556819E-001                  4.9644307537110482E-001                  0.0000000000000000E+000                  3.7077624836713774E+000                  3.4934035519777629E+000                  1.8544356450987525E+000                  7.9671737208818296E+000                  6.2015709588987589E+000                  0.0000000000000000E+000                  5.2823992943463729E-020                  2.4113952243326381E-001                  7.3414920538780115E-001                  2.0553741961848448E-003 
                                    6970                  3.9535596440426321E+009                  5.4443899844246479E-001                 -1.8532156307083270E-001                  3.4502382007176919E+000                  1.9265207460048863E+000                  5.4243175391556808E-001                  4.9644307537110460E-001                  0.0000000000000000E+000                  3.7217952095613911E+000                  3.4931715095735028E+000                  1.8262541721165944E+000                  7.9671745408332661E+000                  6.2015753883039864E+000                  0.0000000000000000E+000                  5.2823978256555920E-020                  2.4113952243325931E-001                  7.3414920538780570E-001                  2.0072445268967121E-003 
                                    6980                  3.9535596538037462E+009                  5.4439188503656877E-001                 -1.8618631590789322E-001                  3.4500746427873739E+000                  1.9263613459801714E+000                  5.4243175391556830E-001                  4.9644307537110482E-001                  0.0000000000000000E+000                  3.7412761240912964E+000                  3.4927743170385379E+000                  1.7870937467893027E+000                  7.9671754096427652E+000                  6.2015800762736006E+000                  0.0000000000000000E+000                  5.2823962729438055E-020                  2.4113952243325451E-001                  7.3414920538781070E-001                  1.9601311210004635E-003 
                                    6990                  3.9535596634079304E+009                  5.4435026354701188E-001                 -1.8759103974730371E-001                  3.4498155644504300E+000                  1.9262058862232008E+000                  5.4243175391556853E-001                  4.9644307537110494E-001                  0.0000000000000000E+000                  3.7683223642685357E+000                  3.4921499486394993E+000                  1.7326890822353045E+000                  7.9671762669696289E+000                  6.2015846936153869E+000                  0.0000000000000000E+000                  5.2823947458991594E-020                  2.4113952243324982E-001                  7.3414920538781547E-001                  1.9185096314433547E-003 
                                    7000                  3.9535596747223077E+009                  5.4430888396549293E-001                 -1.9045586063509304E-001                  3.4492902561214600E+000                  1.9260255523185517E+000                  5.4243175391556853E-001                  4.9644307537110499E-001                  0.0000000000000000E+000                  3.8156842667851953E+000                  3.4908532216830936E+000                  1.6373169137237829E+000                  7.9671772823070457E+000                  6.2015901431574711E+000                  0.0000000000000000E+000                  5.2823929478075228E-020                  2.4113952243324432E-001                  7.3414920538782091E-001                  1.8771300499244026E-003 
                                    7010                  3.9535596934859424E+009                  5.4426058115086795E-001                 -1.9930398547170397E-001                  3.4477386456204879E+000                  1.9257411413605716E+000                  5.4243175391556853E-001                  4.9644307537110499E-001                  0.0000000000000000E+000                  3.9227754154069423E+000                  3.4884872736787855E+000                  1.4219516424781338E+000                  7.9671789954236729E+000                  6.2015992344841830E+000                  0.0000000000000000E+000                  5.2823899678638504E-020                  2.4113952243323514E-001                  7.3414920538783035E-001                  1.8288272352994239E-003 
                                    7020                  3.9535597179276810E+009                  5.4422427055040934E-001                 -2.1020320610517307E-001                  3.4463598615994644E+000                  1.9254018732519633E+000                  5.4243557914180984E-001                  4.9644307537110477E-001                  0.0000000000000000E+000                  4.0329141818299181E+000                  3.4883802092224090E+000                  1.2016205774039943E+000                  7.9671812888573887E+000                  6.2016111906266920E+000                  0.0000000000000000E+000                  5.2823860899005072E-020                  2.4113952243322331E-001                  7.3414920538784223E-001                  1.7886914085994965E-003 
                                    7030                  3.9535597665266538E+009                  5.4418081973888255E-001                 -2.2456833817845387E-001                  3.4450383404392828E+000                  1.9247100377323230E+000                  5.4243557914180984E-001                  4.9644307537110482E-001                  0.0000000000000000E+000                  4.1417646844096110E+000                  3.4875948567164756E+000                  9.8352689599164123E-001                  7.9671857987061045E+000                  6.2016348769369696E+000                  0.0000000000000000E+000                  5.2823783909835686E-020                  2.4113952243319992E-001                  7.3414920538786610E-001                  1.7452405970727058E-003 
                                    7040                  3.9535598700409789E+009                  5.4412534921577893E-001                 -2.4664619156201759E-001                  3.4426710328529584E+000                  1.9232092502809670E+000                  5.4244200262567110E-001                  4.9644307537110482E-001                  0.0000000000000000E+000                  4.2493231815279815E+000                  3.4857785047654541E+000                  7.6750172577938969E-001                  7.9671952932484746E+000                  6.2016851458608473E+000                  0.0000000000000000E+000                  5.2823620435277791E-020                  2.4113952243315073E-001                  7.3414920538791584E-001                  1.6833465901078259E-003 
                                    7050                  3.9535600920123429E+009                  5.4405470144576251E-001                 -2.7650483054543995E-001                  3.4390099409092150E+000                  1.9199541715510671E+000                  5.4244991940012888E-001                  4.9644307537110482E-001                  0.0000000000000000E+000                  4.3583479048969354E+000                  3.4825698975147183E+000                  5.4784797541611485E-001                  7.9672153550494214E+000                  6.2017924876337469E+000                  0.0000000000000000E+000                  5.2823272080296443E-020                  2.4113952243304831E-001                  7.3414920538801942E-001                  1.6047820456336348E-003 
                                    7060                  3.9535605443343210E+009                  5.4397052075628594E-001                 -3.1123561092737168E-001                  3.4337298096315307E+000                  1.9132480211422334E+000                  5.4247021822763841E-001                  4.9644307537110482E-001                  0.0000000000000000E+000                  4.4665218553967332E+000                  3.4775198584346181E+000                  3.2897505487646794E-001                  7.9672552825116369E+000                  6.2020098326767101E+000                  0.0000000000000000E+000                  5.2822570471298289E-020                  2.4113952243285086E-001                  7.3414920538821982E-001                  1.5003025286475236E-003 
                                    7070                  3.9535614176795349E+009                  5.4387715284763904E-001                 -3.4102860137680002E-001                  3.4260265261561385E+000                  1.9001705070218020E+000                  5.4250512586539046E-001                  4.9672080961493414E-001                  0.0000000000000000E+000                  4.5750068077063961E+000                  3.4698286542948611E+000                  1.0815954818726545E-001                  7.9673296535142644E+000                  6.2024255932831078E+000                  0.0000000000000000E+000                  5.2821241120896766E-020                  2.4113952243250467E-001                  7.3414920538857065E-001                  1.3720269822485864E-003 
                                    7080                  3.9535629265438623E+009                  5.4378676007662019E-001                 -3.4901620659848276E-001                  3.4141076525931822E+000                  1.8774052573235356E+000                  5.4256256948008053E-001                  4.9672080961493381E-001                  0.0000000000000000E+000                  4.6801455934867358E+000                  3.4578029319488941E+000                 -1.0813088454639873E-001                  7.9674518312608500E+000                  6.2031347214483441E+000                  0.0000000000000000E+000                  5.2819000677376272E-020                  2.4113952243198822E-001                  7.3414920538909378E-001                  1.2241905965396649E-003 
                                    7090                  3.9535655972918115E+009                  5.4370328714250549E-001                 -3.4374383921814211E-001                  3.3905584781264082E+000                  1.8370085393682889E+000                  5.4266101959118607E-001                  4.9672080961493381E-001                  0.0000000000000000E+000                  4.7915232748111727E+000                  3.4341794500512779E+000                 -3.4269798814408037E-001                  7.9676525653882413E+000                  6.2043665279564078E+000                  0.0000000000000000E+000                  5.2815139015028782E-020                  2.4113952243124165E-001                  7.3414920538985040E-001                  1.0422675513194202E-003 
